,Fecha Hora,Hora,Nivel OK,Fixed Date,Minute
1,44459.5,0.5,194,44459,ok
11,44459.50694,0.506944444,195,44459,ok
21,44459.51389,0.513888889,193,44459,ok
31,44459.52083,0.520833333,192,44459,ok
41,44459.52778,0.527777778,191,44459,ok
51,44459.53472,0.534722222,187,44459,ok
61,44459.54167,0.541666667,186,44459,ok
71,44459.54861,0.548611111,187,44459,ok
81,44459.55556,0.555555556,187,44459,ok
91,44459.5625,0.5625,187,44459,ok
101,44459.56944,0.569444444,187,44459,ok
111,44459.57639,0.576388889,189,44459,ok
121,44459.58333,0.583333333,189,44459,ok
131,44459.59028,0.590277778,191,44459,ok
141,44459.59722,0.597222222,192,44459,ok
151,44459.60417,0.604166667,194,44459,ok
161,44459.61111,0.611111111,195,44459,ok
171,44459.61806,0.618055556,194,44459,ok
181,44459.625,0.625,193,44459,ok
191,44459.63194,0.631944444,193,44459,ok
201,44459.63889,0.638888889,193,44459,ok
211,44459.64583,0.645833333,194,44459,ok
221,44459.65278,0.652777778,196,44459,ok
231,44459.65972,0.659722222,197,44459,ok
241,44459.66667,0.666666667,198,44459,ok
251,44459.67361,0.673611111,199,44459,ok
261,44459.68056,0.680555556,200,44459,ok
271,44459.6875,0.6875,201,44459,ok
281,44459.69444,0.694444444,201,44459,ok
291,44459.70139,0.701388889,200,44459,ok
301,44459.70833,0.708333333,200,44459,ok
311,44459.71528,0.715277778,201,44459,ok
321,44459.72222,0.722222222,202,44459,ok
331,44459.72917,0.729166667,200,44459,ok
341,44459.73611,0.736111111,197,44459,ok
351,44459.74306,0.743055556,196,44459,ok
361,44459.75,0.75,195,44459,ok
371,44459.75694,0.756944444,196,44459,ok
381,44459.76389,0.763888889,196,44459,ok
391,44459.77083,0.770833333,197,44459,ok
401,44459.77778,0.777777778,196,44459,ok
411,44459.78472,0.784722222,195,44459,ok
421,44459.79167,0.791666667,195,44459,ok
431,44459.79861,0.798611111,194,44459,ok
441,44459.80556,0.805555556,193,44459,ok
451,44459.8125,0.8125,193,44459,ok
461,44459.81944,0.819444444,195,44459,ok
471,44459.82639,0.826388889,195,44459,ok
481,44459.83333,0.833333333,194,44459,ok
491,44459.84028,0.840277778,195,44459,ok
