,Nivel,UpLevel,DownLevel,ZeroLevel
0,1,66.67%,33.33%,0.00%
1,2,100.00%,0.00%,0.00%
2,3,40.00%,60.00%,0.00%
3,4,50.00%,50.00%,0.00%
4,5,50.00%,50.00%,0.00%
5,6,50.00%,50.00%,0.00%
6,7,33.33%,66.67%,0.00%
7,8,60.00%,20.00%,20.00%
8,9,42.86%,42.86%,14.29%
9,10,50.00%,50.00%,0.00%
10,11,80.00%,20.00%,0.00%
11,12,37.50%,50.00%,12.50%
12,13,50.00%,50.00%,0.00%
13,14,57.14%,42.86%,0.00%
14,15,37.50%,50.00%,12.50%
15,16,40.00%,60.00%,0.00%
16,17,33.33%,66.67%,0.00%
17,18,30.00%,70.00%,0.00%
18,19,54.55%,36.36%,9.09%
19,20,37.50%,37.50%,25.00%
20,21,0.00%,100.00%,0.00%
21,22,33.33%,66.67%,0.00%
22,23,33.33%,66.67%,0.00%
23,24,28.57%,71.43%,0.00%
24,25,20.00%,70.00%,10.00%
25,26,33.33%,66.67%,0.00%
26,27,54.55%,36.36%,9.09%
27,28,35.71%,42.86%,21.43%
28,29,5.56%,50.00%,44.44%
29,30,33.33%,33.33%,33.33%
30,31,36.36%,63.64%,0.00%
31,32,62.50%,25.00%,12.50%
32,33,18.75%,75.00%,6.25%
33,34,33.33%,58.33%,8.33%
34,35,28.57%,57.14%,14.29%
35,36,28.57%,50.00%,21.43%
36,38,25.00%,66.67%,8.33%
37,39,33.33%,66.67%,0.00%
38,40,22.22%,66.67%,11.11%
39,41,38.46%,53.85%,7.69%
40,42,16.67%,66.67%,16.67%
41,43,35.71%,64.29%,0.00%
42,44,20.00%,70.00%,10.00%
43,45,29.41%,64.71%,5.88%
44,46,36.84%,47.37%,15.79%
45,47,29.41%,64.71%,5.88%
46,48,28.57%,64.29%,7.14%
47,49,40.00%,45.00%,15.00%
48,50,35.00%,45.00%,20.00%
49,51,35.71%,50.00%,14.29%
50,52,33.33%,60.00%,6.67%
51,53,28.57%,42.86%,28.57%
