,FechaHora,Slope,,,
0,44459.50694,1,,,356
1,44459.51389,-2,pos,,
2,44459.52083,-1,0,,
3,44459.52778,-1,0,,
4,44459.53472,-4,0,,
5,44459.54167,-1,0,,
6,44459.54861,1,0,,
7,44459.55556,0,0,,
8,44459.5625,0,0,,
9,44459.56944,0,0,,
10,44459.57639,2,0,,
11,44459.58333,0,0,,
12,44459.59028,2,0,,
13,44459.59722,1,0,,
14,44459.60417,2,0,,
15,44459.61111,1,0,,
16,44459.61806,-1,pos,,
17,44459.625,-1,0,,
18,44459.63194,0,0,,
19,44459.63889,0,0,,
20,44459.64583,1,0,,
21,44459.65278,2,0,,
22,44459.65972,1,0,,
23,44459.66667,1,0,,
24,44459.67361,1,0,,
25,44459.68056,1,0,,
26,44459.6875,1,0,,
27,44459.69444,0,0,,
28,44459.70139,-1,0,,
29,44459.70833,0,0,,
30,44459.71528,1,0,,
31,44459.72222,1,0,,
32,44459.72917,-2,pos,,
33,44459.73611,-3,0,,
34,44459.74306,-1,0,,
35,44459.75,-1,0,,
36,44459.75694,1,0,,
37,44459.76389,0,0,,
38,44459.77083,1,0,,
39,44459.77778,-1,pos,,
40,44459.78472,-1,0,,
41,44459.79167,0,0,,
42,44459.79861,-1,0,,
43,44459.80556,-1,0,,
44,44459.8125,0,0,,
45,44459.81944,2,0,,
46,44459.82639,0,0,,
47,44459.83333,-1,0,,
48,44459.84028,1,0,,
49,44459.84722,0,0,,
50,44459.85417,0,0,,
51,44459.86111,1,0,,
52,44459.86806,0,0,,
53,44459.875,0,0,,
54,44459.88194,0,0,,
55,44459.88889,2,0,,
56,44459.89583,1,0,,
57,44459.90278,1,0,,
58,44459.90972,1,0,,
59,44459.91667,0,0,,
60,44459.92361,-1,0,,
61,44459.93056,0,0,,
62,44459.9375,0,0,,
63,44459.94444,0,0,,
64,44459.95139,-2,0,,
65,44459.95833,-2,0,,
66,44459.96528,-1,0,,
67,44459.97222,-3,0,,
68,44459.97917,-1,0,,
69,44459.98611,-2,0,,
70,44459.99306,2,0,,
71,44460.00016,2,0,,
72,44460.00694,0,0,,
73,44460.01389,0,0,,
74,44460.02083,-1,0,,
75,44460.02778,0,0,,
76,44460.03472,0,0,,
77,44460.04167,-3,0,,
78,44460.04861,-1,0,,
79,44460.05556,0,0,,
80,44460.0625,0,0,,
81,44460.06944,0,0,,
82,44460.07639,0,0,,
83,44460.08333,-1,0,,
84,44460.09028,-1,0,,
85,44460.09722,-2,0,,
86,44460.10417,-2,0,,
87,44460.11111,-1,0,,
88,44460.11806,-1,0,,
89,44460.125,1,0,,
90,44460.13194,0,0,,
91,44460.13889,0,0,,
92,44460.14583,0,0,,
93,44460.15278,1,0,,
94,44460.15972,3,0,,
95,44460.16667,1,0,,
96,44460.17361,1,0,,
97,44460.18056,1,0,,
98,44460.1875,1,0,,
99,44460.19444,4,0,,
100,44460.2014,2,0,,
101,44460.20833,2,0,,
102,44460.21528,1,0,,
103,44460.22253,1,0,,
104,44460.22917,1,0,,
105,44460.23611,1,0,,
106,44460.24306,1,0,,
107,44460.25,-1,pos,,
108,44460.25694,-2,0,,
109,44460.26389,-1,0,,
110,44460.27083,-1,0,,
111,44460.27778,-1,0,,
112,44460.28472,0,0,,
113,44460.29167,1,0,,
114,44460.29861,1,0,,
115,44460.30556,1,0,,
116,44460.3125,0,0,,
